County,Park,Trail Name,Miles,Trail Type
Ulster,,Shaupeneak Ridge Cooperative Recreation Area Trails,3.5,Countryside Corridor
Ulster,,Turkey Point State Forest Trails,2.3,Riverside Trail
Ulster,,Black Creek Forest Trails,2,Riverside Trail
Ulster,,Wallkill Valley Rail Trail,12.2,Countryside Corridor
Ulster,,Esopus Bend Nature Preserve Trail System ,2.8,Riverside Trail
Ulster,,Walkway Loop Trail (with Dutchess County),3.6,Riverside Trail
Ulster,,Sojourner Truth Ulster Landing County Park Trail System,0.9,Riverside Trail
Ulster,,Marbletown O&W Rail Trail,8.7,Countryside Corridor
Westchester,,Anthony's Nose Trail (in TVP as part of Camp Smith Trail,0.6,Riverside Trail
Westchester,,Croton Bridge Pathway,1.9,Riverside Trail
Westchester,,George's Island Park Trails,3.3,Riverside Trail
Westchester,,Horseman's Trail,1,Riverside Trail
Westchester,,Old Croton Trailway (portion),21.9,Riverside Trail
Westchester,,Town of Cortlandt Shoreline Trail,4.8,Riverside Trail
Westchester,,Camp Smith Trail (TVP adds Anthony's Nose),3.1,Riverside Trail
Westchester,,Teatown Lake Reservation Trails,14,Connector Trail
Westchester,,Ophir Farm Trail & Manhattanville Walking Tour,1.5,Riverside Trail
Westchester,,Rowley’s Bridge Trail,0.44,Riverside Trail
Westchester,,Quarry Lane Trail,0.14,Riverside Trail
Westchester,,Croton Gorge Trail,0.6,Connector Trail
Westchester,,Croton Riverwalk Trail,3,Riverside Trail
,New York State Bridge Authority,Rip Van Winkle Bridge,0.9,Riverside Trail
,New York State Bridge Authority,Mid-Hudson Bridge 0.6 miles (see Walkway Loop Ulster County),,
,New York State Bridge Authority,Newburgh Beacon Bridge 2.0 mi (see Trail of 2 Cities),,
,New York State Bridge Authority,Bear Mountain Bridge,0.4,Riverside Trail
